id	user	created_at	source	in_reply_to_status_id	in_reply_to_user_id	in_reply_to_screen_name	retweet_count	text
1459997658769203200	lisa_mayr	2021-11-14 21:32:21+00:00	Twitter for Android				0	Jetzt dachte ich kurz bein Umschalten ohne Ton, Kevin Kühnert sitzt #imzentrum. Es war Peter Klimek.
1459997684719394829	miracorvino	2021-11-14 21:32:28+00:00	Twitter for Android				0	was macht rauch-kallat eigentlich da? wenn kein*e aktive*r nvpler*in kommen wollte, lässt man die halt einfach weg. #imzentrum
1459997717082607619	wolfgangkratky	2021-11-14 21:32:35+00:00	TweetDeck				0	Wenn wir den Lockdown für alle machen, ist natürlich der jetzt klar entstehende Impfdruck, der wie man sieht auch tatsächlich wirkt, sofort wieder weg. Darum ist das jetzt eine gute Entscheidung. #imzentrum
1459997738700091405	unbehandelt	2021-11-14 21:32:41+00:00	Twitter for Android				0	"Und das ganze Chaos nur damit man nicht die ""Gefühle"" von ein paar Impfgegner Dodln nicht verletzt. #imzentrum #impfpflichtjetzt"
1459997819448827904	deswedenisesso	2021-11-14 21:33:00+00:00	Twitter for Android				0	Was haben sich die geimpften zuschulden kommen lassen, dass sie in der Nacht nicht mehr fortgehen dürfen? Was? Ich würde es echt gerne wissen! #zib2 #imzentrum @WolfgangMueckst
1459997822191812615	iboy	2021-11-14 21:33:00+00:00	Twitter for Android	1.4599955673717883e+18	2825191.0	iboy	0	"Meanwhile, all these ""Türkis"" and Green politicians (the coalition) didn't even bother to show up to discuss the issues on the @ORF #ImZentrum Mückstein Kogler Maurer Kurz Wöginger Platter Haslauer Stelzer Bravo Austria 👏🇦🇹🤦 #ZIB2 #imzentrum #impfpflichtjetzt #Impfpflicht"
1459997835630370816	BMLoidl	2021-11-14 21:33:04+00:00	Twitter for iPhone	1.4599959150795366e+18	14451524.0	BMLoidl	0	#imzentrum
1459997843679322123	grafkaroly	2021-11-14 21:33:06+00:00	Twitter Web App				0	RT @lou_lorenz: „Zehn Tage haben wir sicher nicht mehr Zeit. Wir müssen rasch weitere Maßnahmen auf den Weg bringen“, sagt Dorothee von Lae…
1459997856627146762	Gab_Sei	2021-11-14 21:33:09+00:00	Twitter for iPhone				0	Wie kann man die 4.Welle brechen? Vielleicht mit einem Emetikum! #imzentrum
1459997860569792513	DieRaffa	2021-11-14 21:33:10+00:00	Twitter for iPhone				0	Rauch-Kallat: Eva Linsinger hat Recht. Mit Propaganda kann man keine Pandemie bewältigen, da braucht es Maßnahmen. #Imzentrum
1459997873198804992	DrPhiloponus	2021-11-14 21:33:13+00:00	Twitter for Android	1.4599620361049743e+18	19470289.0	DrPhiloponus	0	https://t.co/Hm8Ts1lWfn
1459997881423867906	Fabian_Eder_AUT	2021-11-14 21:33:15+00:00	Twitter for iPad				0	Experten watschen die nicht vorhandene Regierung #ImZentrum ab. Nothing new either. #corona #LockdownFuerUngeimpfte
1459997957470756868	CristianGemmato	2021-11-14 21:33:33+00:00	Twitter for iPhone				0	Zawos? #imzentrum
1459998008045711364	grafkaroly	2021-11-14 21:33:45+00:00	Twitter Web App				0	RT @DennisBeck_w: Die Bluse von Dorothee von Laer versöhnt mich wieder mit der Welt, trotz Mückstein-Interview. Ich liebe diese Frau! 🥰 #im…
1459998048390684677	heigion	2021-11-14 21:33:54+00:00	Twitter Web App				0	RT @Chrisl7000: Türkisgrüne Hosenscheißer*innen. #imzentrum #Kurz #Schallenberg #Nehammer #Wöginger #Maurer #Mückstein #Kogler #Haslauer #P…
1459998106871808001	NedadMemic	2021-11-14 21:34:08+00:00	Twitter for Android				0	So viele Corona-Expert*innen, -Konsortien, -Kommissionen und trotzdem fünfstellige Ansteckungszahlen. Sprechen die Leute in diesem Land überhaupt miteinander? #ImZentrum
1459998137356009476	harald_eff	2021-11-14 21:34:16+00:00	Twitter Web App				0	Mückstein hat gesagt, dass am Mittwoch, 10 Tage nach 2G-Einführung, weitere Maßnahmen zumindest diskutiert werden, nicht wie Reiterer behauptet 10 Tage ab heute. #ImZentrum
1459998155370598409	SonjaTollinger	2021-11-14 21:34:20+00:00	Twitter for Android				0	#ImZentrum Bitte erklärts der Rauch-Kallat, dass die Sache mit der persönlichen Verantwortung schon einmal... naja...wie soll man sagen...überrollt wurde.
1459998204725014535	xVanell	2021-11-14 21:34:32+00:00	Twitter Web App				0	#imzentrum als Hintergrundbeschallung zum Lernen. Ich glaub wenn ich mich ganz darauf konzentrieren würd, hätt ich einen Herzinfarkt oder sogar Schlimmeres.
1459998228804472837	joh_willi	2021-11-14 21:34:37+00:00	Twitter for Android				0	RT @PatrickGruska: Wer heute ua. aller für #imzentrum abgesagt hat: Mückstein Kogler Maurer Kurz Wöginger Platter Haslauer Stelzer Den 4.…
